UserID,PagesVisitées,TempsTotal (sec),AjoutPanier,AjoutWishlist,ProduitsConsultés,ProduitsAchetés,PromosConsultées,DélaiEntreVisites (jours),SourceTrafic
1,21,532,3,2,17,2,0,1,Direct
2,24,1390,1,4,12,1,3,22,Réseaux Sociaux
3,12,821,2,0,7,1,4,4,Direct
4,28,1371,3,0,21,0,2,29,Publicité
5,6,267,2,0,6,1,0,8,Recherche Organique
6,16,1269,3,3,8,1,0,13,Réseaux Sociaux
7,22,1689,1,4,17,1,1,12,Recherche Organique
8,18,1324,2,4,11,2,1,27,Publicité
9,17,1559,0,3,8,0,5,21,Publicité
10,20,415,0,2,19,0,0,7,Réseaux Sociaux
11,9,1110,1,0,9,0,5,20,Publicité
12,15,1037,0,4,7,0,4,4,Publicité
13,24,155,0,0,19,0,2,11,Recherche Organique
14,8,387,4,0,6,4,2,9,Direct
15,20,1549,0,2,12,0,3,8,Direct
16,3,1265,4,0,3,0,0,4,Réseaux Sociaux
17,28,1669,1,2,25,1,0,23,Recherche Organique
18,12,1307,0,3,12,0,1,17,Publicité
19,21,285,4,3,11,1,0,11,Recherche Organique
20,22,528,1,4,22,0,4,27,Réseaux Sociaux
21,5,874,2,0,3,2,0,17,Réseaux Sociaux
22,8,1579,0,0,5,0,4,21,Direct
23,26,855,1,3,17,0,1,2,Réseaux Sociaux
24,24,525,3,3,17,1,5,3,Recherche Organique
25,26,1140,3,5,23,1,3,9,Réseaux Sociaux
26,13,1828,3,5,13,2,1,14,Direct
27,3,1658,2,0,1,2,0,28,Publicité
28,30,1006,2,1,16,1,3,21,Publicité
29,16,1720,4,5,9,4,5,18,Publicité
30,27,1926,3,5,14,3,5,11,Réseaux Sociaux
31,21,851,1,0,14,1,3,1,Réseaux Sociaux
32,28,1577,1,3,25,1,1,18,Direct
33,30,514,5,4,24,1,1,24,Publicité
34,14,272,3,2,7,3,4,7,Réseaux Sociaux
35,8,387,3,0,7,2,3,26,Direct
36,13,1096,2,5,6,2,0,17,Publicité
37,9,1098,1,0,4,0,3,27,Réseaux Sociaux
38,15,868,4,4,11,2,3,16,Réseaux Sociaux
39,26,1127,5,5,25,4,2,8,Publicité
40,27,1516,0,1,22,0,3,30,Recherche Organique
41,4,1695,1,0,2,0,0,6,Recherche Organique
42,19,1531,0,3,18,0,3,1,Direct
43,17,1008,5,0,8,1,5,20,Réseaux Sociaux
44,14,1154,3,2,14,2,5,13,Recherche Organique
45,19,1381,5,5,12,5,3,18,Publicité
46,27,1639,2,3,27,1,3,14,Réseaux Sociaux
47,5,839,1,0,5,1,0,1,Réseaux Sociaux
48,15,481,0,2,13,0,5,24,Réseaux Sociaux
49,16,224,0,4,14,0,0,23,Recherche Organique
50,25,470,2,1,16,0,4,30,Publicité
51,25,682,3,3,13,0,3,22,Recherche Organique
52,14,1999,1,3,10,0,1,17,Réseaux Sociaux
53,13,144,2,0,13,0,1,9,Publicité
54,14,1346,2,4,12,2,0,22,Direct
55,19,1759,4,2,13,1,4,8,Réseaux Sociaux
56,21,1951,0,3,14,0,3,10,Réseaux Sociaux
57,18,1366,2,1,15,1,4,6,Direct
58,11,1608,0,5,7,0,5,12,Recherche Organique
59,22,1523,2,3,13,2,4,22,Direct
60,18,1944,4,3,11,0,5,10,Recherche Organique
61,18,1912,2,3,10,1,4,24,Direct
62,24,267,2,1,24,0,4,1,Recherche Organique
63,15,303,5,5,11,4,4,29,Recherche Organique
